,label,thresh,coordinates
389,2,0,"[86, 62, 51, 32, -43, 10, 7]"
390,2,0,"[89, 62, 64, -5, -26, 5, 18]"
391,2,0,"[50, 48, -13, 2, -10, 12, 29]"
392,2,0,"[86, 64, -44, -38, -17, 1, 37]"
393,2,0,"[78, 39, -54, -40, -23, -8, 31]"
394,2,0,"[68, 21, -46, -46, -17, 0, 16]"
395,2,0,"[54, 28, -33, -32, -8, 6, 10]"
396,2,0,"[48, 33, -29, -19, -5, 6, 14]"
397,2,0,"[41, 21, -35, 3, -4, -2, 19]"
398,2,0,"[89, 11, -6, 88, -13, -10, 23]"
399,2,0,"[145, -3, 29, 142, -29, -37, 33]"
400,2,0,"[193, -36, 104, 158, -34, -43, 43]"
401,2,0,"[175, -100, 93, 110, -43, -43, 43]"
402,2,1,"[792, -157, 60, -774, -28, 14, -43]"
403,0,0,"[106, -49, -68, -65, 6, 22, -1]"
404,0,0,"[93, -13, -37, -84, 2, 3, 0]"
405,0,0,"[50, -12, -25, -42, -1, 0, 2]"
406,0,0,"[83, 1, -22, -80, 0, -2, 1]"
407,0,0,"[117, -4, -49, -106, 4, 2, 0]"
408,0,0,"[101, -1, -54, -85, 1, 2, 0]"
409,0,0,"[79, -8, -42, -67, 0, 2, 0]"
410,0,0,"[79, -7, -35, -71, -1, 0, 0]"
411,0,0,"[88, -7, -37, -80, 1, 0, 0]"
412,0,0,"[93, -9, -42, -82, 3, 1, -1]"
413,0,0,"[88, -8, -44, -76, 2, 1, 0]"
414,0,0,"[88, -7, -45, -75, 1, 0, 0]"
415,0,0,"[91, -7, -42, -80, 0, 0, 0]"
416,0,0,"[90, -7, -40, -80, 0, 0, 0]"
417,0,0,"[88, -8, -40, -78, 0, 0, 0]"
418,0,0,"[91, -8, -44, -79, 0, 0, 0]"
419,0,0,"[88, -9, -41, -77, 0, 0, 0]"
420,0,0,"[91, -6, -44, -80, 0, 0, 0]"
421,0,0,"[89, -7, -45, -77, 0, 0, 0]"
422,0,0,"[89, -7, -43, -78, 0, 0, 0]"
423,0,0,"[89, -6, -43, -78, 0, 0, 0]"
424,0,0,"[89, -3, -45, -77, 0, 0, 0]"
425,0,0,"[90, -7, -43, -79, 0, 0, 0]"
426,0,0,"[88, -6, -41, -78, 0, 0, 0]"
427,0,0,"[90, -7, -44, -78, 0, 0, 0]"
428,0,0,"[87, -8, -42, -76, 0, 0, 0]"
429,0,0,"[91, -5, -45, -79, 0, 0, 0]"
430,0,0,"[90, -7, -44, -78, 0, 0, 0]"
431,4,0,"[89, -7, -44, -77, 0, 0, 0]"
432,4,0,"[87, -6, -40, -77, 0, 0, 0]"
433,4,0,"[90, -7, -44, -78, 0, 0, 0]"
434,4,0,"[89, -7, -43, -78, 0, 0, 0]"
435,4,0,"[88, -7, -43, -77, 0, 0, 0]"
436,4,0,"[89, -6, -44, -77, 1, 0, 0]"
437,4,0,"[90, -7, -47, -77, 0, 0, 0]"
438,4,0,"[90, -4, -45, -78, 0, 0, 0]"
439,4,0,"[88, -6, -42, -77, 0, 0, 0]"
440,4,0,"[89, -6, -43, -78, 0, 0, 0]"
441,4,0,"[92, -6, -48, -78, 0, 0, 0]"
442,4,0,"[89, -6, -43, -78, 0, 0, 0]"
443,4,0,"[89, -5, -42, -78, 0, 0, 0]"
444,4,0,"[90, -7, -47, -77, 0, 0, 0]"
445,4,0,"[90, -7, -44, -78, 0, 0, 0]"
446,4,0,"[89, -6, -43, -78, 0, 0, 0]"
447,4,0,"[90, -5, -44, -78, 0, 0, 0]"
448,4,0,"[90, -6, -45, -78, 0, 0, 0]"
449,4,0,"[89, -6, -45, -77, 0, 0, 0]"
450,4,0,"[89, -6, -43, -78, 0, 0, 0]"
451,4,0,"[91, -6, -46, -78, 0, 0, 0]"
452,4,0,"[89, -7, -44, -77, 0, 0, 0]"
453,4,0,"[89, -6, -42, -78, 0, 0, 0]"
454,4,0,"[89, -6, -45, -77, 0, 0, 0]"
455,4,0,"[90, -5, -45, -78, 0, 0, 0]"
456,4,0,"[91, -6, -46, -78, 0, 0, 0]"
457,4,0,"[89, -6, -44, -77, 0, 0, 0]"
458,4,0,"[88, -6, -43, -77, 0, 0, 0]"
459,4,0,"[90, -5, -45, -78, 0, 0, 0]"
