,label,thresh,coordinates
301,0,0,"['89', '12', '6', '-88', '-1', '2', '0']"
302,0,0,"['88', '13', '5', '-87', '-1', '1', '0']"
303,0,0,"['89', '14', '5', '-88', '-1', '0', '0']"
304,0,0,"['87', '14', '5', '-86', '0', '0', '0']"
305,0,0,"['87', '13', '4', '-86', '0', '1', '0']"
306,0,0,"['88', '13', '5', '-87', '0', '1', '0']"
307,0,0,"['88', '15', '5', '-87', '0', '0', '0']"
308,0,0,"['88', '14', '6', '-87', '0', '0', '0']"
309,0,0,"['86', '15', '8', '-84', '0', '0', '0']"
310,0,0,"['87', '14', '7', '-86', '0', '0', '0']"
311,0,0,"['88', '12', '6', '-87', '0', '0', '0']"
312,0,0,"['91', '13', '6', '-90', '0', '0', '0']"
313,0,0,"['93', '13', '5', '-92', '0', '0', '0']"
314,0,0,"['96', '18', '8', '-94', '0', '-1', '0']"
315,0,0,"['101', '15', '2', '-100', '1', '-2', '3']"
316,0,0,"['128', '32', '16', '-123', '15', '-10', '14']"
317,0,0,"['47', '27', '-12', '-36', '24', '-4', '0']"
318,0,0,"['202', '41', '-14', '-197', '5', '-9', '1']"
319,0,0,"['91', '7', '-20', '-89', '0', '8', '2']"
320,0,0,"['86', '9', '-12', '-85', '-4', '13', '4']"
321,0,0,"['77', '18', '-3', '-75', '-1', '5', '5']"
322,0,0,"['73', '19', '-6', '-70', '4', '0', '6']"
323,0,0,"['77', '14', '-17', '-74', '4', '-1', '3']"
324,0,0,"['83', '14', '-20', '-79', '1', '0', '1']"
325,0,0,"['85', '16', '-13', '-82', '-1', '0', '1']"
326,0,0,"['85', '17', '-7', '-83', '-1', '-1', '1']"
327,0,0,"['88', '17', '-3', '-86', '0', '-4', '0']"
328,0,0,"['88', '15', '-5', '-87', '1', '-4', '1']"
329,0,0,"['93', '15', '-3', '-92', '0', '-1', '1']"
330,0,0,"['89', '18', '0', '-87', '1', '-1', '2']"
331,0,0,"['92', '17', '-4', '-90', '3', '-2', '3']"
332,0,0,"['91', '15', '-10', '-89', '1', '-2', '3']"
333,0,0,"['94', '14', '-10', '-92', '0', '-2', '3']"
334,0,0,"['95', '10', '-12', '-94', '0', '-1', '3']"
335,0,0,"['96', '9', '-13', '-95', '0', '0', '3']"
336,0,0,"['96', '8', '-13', '-95', '1', '0', '2']"
337,0,0,"['97', '8', '-17', '-95', '1', '1', '1']"
338,0,0,"['98', '8', '-19', '-96', '0', '3', '1']"
339,0,0,"['99', '10', '-18', '-97', '0', '4', '1']"
